ID,ra,dec,zCNN,NHI_best,Flux,SNR,status,SiII1526_sigma,SiII1526_dv,CII1334_sigma,CII1334_dv,OI1302_sigma,OI1302_dv,AlII1670_sigma,AlII1670_dv,n_lines_ok,solo_hits,pair_hit,detected,candidate_metalpoor,MH,source
75105084.0,357.7411589,-0.8694215,2.61646528,21.216423,7.038,14.83,ok,19.693352,-500.0,69.45535278320312,-100.0,26.2020263671875,-200.0,11.523173,-150.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.93,Rafelski2012_lit
183227390.0,188.656466,7.9787099,2.3372164,20.785196,11.938,15.446,ok,15.603557,50.0,23.565948486328125,0.0,-3.153857946395874,0.0,22.165703,0.0,4,"SiII1526,CII1334,AlII1670",True,True,False,-1.22,Rafelski2012_lit
212114027.0,129.8874592,11.2018188,2.46484924,20.625287,5.52,8.577,ok,12.360653,50.0,29.07976531982422,-100.0,30.311193466186523,50.0,7.492075,50.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.1,Rafelski2012_lit
210580984.0,205.0105979,11.1083876,2.79563311,20.783454,4.362,7.437,ok,2.671029,350.0,6.768972873687744,0.0,3.7846009731292725,50.0,2.5389957,150.0,4,"CII1334,OI1302",True,True,False,-1.67,Rafelski2012_lit
267020339.0,186.529972,17.6138676,2.46405035,21.443811,9.847,14.569,ok,24.044733,150.0,50.10528564453125,200.0,41.97598648071289,500.0,22.890945,150.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.54,Rafelski2012_lit
307000273.0,173.7837126,22.4543325,2.78254716,20.6991,15.668,19.788,ok,12.109495,100.0,23.017637252807617,50.0,21.785940170288086,100.0,11.237139,100.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.94,Rafelski2012_lit
390658946.0,137.4194435,33.0632336,3.65890892,20.79833,6.022,9.329,ok,14.044106,-100.0,20.71014976501465,-100.0,18.68836212158203,-50.0,9.843214,-100.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.19,Rafelski2012_new
395081320.0,28.1440532,33.8425596,2.13894891,20.583695,18.529,11.499,ok,4.4687715,150.0,14.720623016357422,200.0,19.82504653930664,150.0,4.904414,200.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.44,Rafelski2012_lit
400352403.0,189.6705603,34.6176091,2.47043829,20.76431,11.823,11.211,ok,10.298797,50.0,14.251524925231934,400.0,14.856962203979492,500.0,5.514824,400.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-2.04,Rafelski2012_new
434583773.0,180.1659064,40.2656079,3.2187553,20.909984,7.325,13.586,ok,35.678604,50.0,38.32399368286133,50.0,41.6136474609375,50.0,37.69148,50.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-0.64,Rafelski2012_new
440948767.0,169.048889,41.3059806,2.66339949,20.335964,9.551,14.878,ok,18.634466,-150.0,46.56098937988281,-150.0,31.421432495117188,-200.0,34.461903,-300.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-0.94,Rafelski2012_lit
469108640.0,190.4097722,46.28808,2.66761929,20.543029,10.882,13.916,ok,9.377713,-50.0,45.80023956298828,250.0,8.47803020477295,50.0,4.8797603,0.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.84,Rafelski2012_new
475562239.0,116.3407864,47.5767231,3.01683757,20.491803,35.921,37.162,ok,22.905315,50.0,33.70932388305664,50.0,22.246021270751953,50.0,17.235708,50.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.62,Rafelski2012_lit
492130137.0,126.3966582,51.4517697,3.31702287,20.675195,7.686,21.099,ok,24.628338,100.0,34.227561950683594,50.0,43.27771759033203,50.0,17.247492,50.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.67,Rafelski2012_new
500807775.0,208.3213095,53.4737373,2.83428367,20.669864,9.056,13.975,ok,10.707671,50.0,15.180808067321777,50.0,10.902469635009766,50.0,5.778279,0.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.38,Rafelski2012_new
506424358.0,158.8092597,54.6778352,2.6828525,20.673536,16.411,15.787,ok,48.963436,100.0,133.1238555908203,50.0,81.30899810791016,50.0,41.974094,50.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-0.62,Rafelski2012_lit
367391810.0,233.97418,29.7204545,3.76084843,20.712943,1.851,4.747,ok,2.4691207,50.0,4.671821594238281,50.0,4.8042755126953125,0.0,2.65923,350.0,4,"CII1334,OI1302",True,True,False,-1.97,Rafelski2012_lit
488235138.0,123.6466458,50.4962126,3.70743466,21.039137,6.0,18.064,ok,6.894629,-50.0,9.695771217346191,0.0,14.431367874145508,-50.0,2.9110339,0.0,4,"SiII1526,CII1334,OI1302",True,True,False,-2.08,Rafelski2012_lit
146393570.0,23.4179864,4.0166034,3.69228412,20.655638,5.729,6.813,ok,10.396985,-500.0,-2.609764575958252,-500.0,15.058053970336914,-400.0,2.9070566,-100.0,4,"SiII1526,OI1302",False,True,False,-2.39,Rafelski2012_lit
146393570.0,23.4179864,4.0166034,3.77072409,20.659392,5.729,6.813,ok,12.07886,150.0,42.13114547729492,200.0,36.41840362548828,250.0,14.74984,150.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-0.7,Rafelski2012_lit
214228731.0,165.1884793,11.3775396,4.4023695,21.666117,1.498,5.659,ok,16.687187,-400.0,33.307132720947266,-350.0,53.16427230834961,-400.0,18.31263,-350.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.68,Rafelski2012_new
234044958.0,340.4489851,13.8674345,4.27939647,21.355233,1.518,4.14,ok,1.9079592,300.0,12.450909614562988,250.0,15.938843727111816,250.0,1.5523858,50.0,4,"CII1334,OI1302",True,True,False,-1.72,Rafelski2012_lit
253512066.0,241.8926124,16.0715099,4.47122219,20.321745,1.65,5.793,ok,2.9752016,150.0,3.890228509902954,100.0,6.460257053375244,150.0,3.193398,150.0,4,"CII1334,OI1302",True,True,False,-1.71,Rafelski2012_new
300727071.0,128.6226875,21.6735134,3.71177236,20.374706,1.199,3.158,ok,22.902077,-50.0,1.9429675340652466,-150.0,5.314209461212158,-50.0,3.1738303,-150.0,4,"SiII1526,OI1302",True,True,False,-1.56,Rafelski2012_new
307116569.0,253.6535592,22.4593897,3.99786367,20.591184,1.764,6.859,ok,0.25440702,250.0,15.294849395751953,-300.0,13.728471755981445,250.0,2.3429153,-500.0,4,"CII1334,OI1302",False,True,False,-1.66,Rafelski2012_new
348800731.0,220.8798741,27.4102162,4.22136681,20.71061,2.284,5.752,ok,32.093582,100.0,39.50750732421875,250.0,61.26589584350586,150.0,34.15174,150.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-0.95,Rafelski2012_lit
377525877.0,160.6766985,31.1203332,4.08492223,20.854523,1.294,4.488,ok,7.1082816,150.0,7.774752140045166,0.0,5.703280925750732,100.0,1.9356419,200.0,4,"SiII1526,CII1334,OI1302",True,True,False,-1.95,Rafelski2012_new
387205842.0,180.5324218,32.59411,4.79941739,20.625817,0.969,3.757,ok,3.7631044,100.0,3.4491569995880127,-200.0,16.200578689575195,-250.0,1.744937,450.0,4,"SiII1526,CII1334,OI1302",True,True,False,-2.36,Rafelski2012_new
407352752.0,162.8459894,35.7595305,4.34544962,20.59144,1.343,3.512,ok,3.913503,250.0,12.371186256408691,50.0,6.874077320098877,-250.0,21.270672,150.0,4,"SiII1526,CII1334,OI1302,AlII1670",False,True,False,-1.88,Rafelski2012_new
438508218.0,127.8440716,40.7731659,4.33807044,20.883055,1.529,5.958,ok,6.9415407,300.0,47.73876190185547,50.0,4.111649036407471,-500.0,4.1690383,350.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-2.36,Rafelski2012_new
452259773.0,219.6498015,43.2497876,4.39615357,20.892698,5.083,12.165,ok,23.850992,150.0,44.28551483154297,200.0,49.718421936035156,150.0,24.985216,150.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.31,Rafelski2012_new
460325304.0,116.9572689,44.5714052,4.02093078,20.876328,1.619,5.063,ok,3.7619786,-150.0,20.04627227783203,-100.0,27.098215103149414,300.0,-6.16072,-450.0,4,"SiII1526,CII1334,OI1302",True,True,False,-2.28,Rafelski2012_new
496105853.0,122.2059584,52.2542527,3.11418959,20.474917,5.413,10.518,ok,18.200497,-450.0,30.056045532226562,450.0,-6.065863132476807,150.0,11.613391,-100.0,4,"SiII1526,CII1334,AlII1670",False,True,False,-1.5,Rafelski2012_lit
525310977.0,214.7763203,59.3867811,2.2462674,20.915148,34.474,15.817,ok,4.3579936,100.0,6.34672737121582,0.0,6.928843021392822,500.0,3.007624,50.0,4,"SiII1526,CII1334,OI1302",True,True,False,-1.59,Rafelski2012_lit
114260330.0,43.8274293,0.8132091,3.91116246,20.990712,2.728,8.965,ok,7.744978,150.0,5.807764530181885,200.0,9.845027923583984,250.0,5.966435,200.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.73,Rafelski2012_lit
531686697.0,154.3578806,61.2743039,2.76777023,20.651126,17.718,18.761,ok,13.265343,50.0,15.15601921081543,50.0,8.505772590637207,50.0,16.39761,150.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-2.17,Rafelski2012_new
29489920.0,24.7558687,-8.4122314,2.67692125,20.61051,5.612,13.528,ok,12.691547,100.0,39.063228607177734,50.0,33.59858703613281,50.0,11.173844,50.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.15,Rafelski2012_lit
62102040.0,0.458124,-1.9942991,2.09445667,20.341314,8.006,12.677,ok,35.062607,50.0,21.375885009765625,0.0,15.715123176574707,-50.0,17.282051,50.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-0.72,Rafelski2012_lit
62102040.0,0.458124,-1.9942991,2.15198627,20.419644,8.006,12.677,ok,5.5344996,150.0,15.035884857177734,100.0,7.851357460021973,150.0,11.86488,150.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.53,Rafelski2012_lit
75105084.0,357.7411589,-0.8694215,2.42597588,20.374156,7.038,14.83,ok,50.002213,-50.0,50.91197967529297,0.0,31.554840087890625,-50.0,43.329746,0.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-0.64,Rafelski2012_lit
77863991.0,21.7528777,-0.76644,3.72807439,20.908437,5.744,13.176,ok,15.037364,50.0,29.350631713867188,0.0,24.064451217651367,-50.0,3.0760264,0.0,4,"SiII1526,CII1334,OI1302",True,True,False,-2.42,Rafelski2012_lit
102283293.0,153.9541973,0.3388924,3.10945625,20.922529,1.508,4.115,ok,5.443078,-400.0,12.07522201538086,-300.0,9.171351432800293,-300.0,22.229013,-350.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-0.83,Rafelski2012_lit
97118968.0,338.5374753,0.0004698,2.06537987,20.424126,18.089,34.253,ok,40.33123,50.0,108.64753723144531,-100.0,33.34915542602539,50.0,151.05902,50.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-0.61,Rafelski2012_lit
114260330.0,43.8274293,0.8132091,3.25583028,20.57881,2.728,8.965,ok,18.628754,-100.0,20.513755798339844,-100.0,24.49917221069336,-500.0,23.659567,-150.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-0.88,Rafelski2012_lit
218197149.0,196.1089542,12.0459914,2.91908131,20.980438,19.28,20.828,ok,7.392617,-450.0,25.1895751953125,-450.0,16.002567291259766,-450.0,8.201616,-350.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.54,Rafelski2012_new
219792523.0,223.57743,12.1816319,2.4688401,20.477941,6.018,12.014,ok,5.635918,300.0,28.374828338623047,400.0,6.8568291664123535,500.0,3.270065,50.0,4,"SiII1526,CII1334,OI1302",False,True,False,-2.08,Rafelski2012_lit
233591231.0,124.4188651,13.8596044,4.24788534,21.056413,1.509,3.898,ok,4.6134257,400.0,7.700197696685791,450.0,18.618820190429688,500.0,0.4790561,-500.0,4,"SiII1526,CII1334,OI1302",True,True,False,-1.15,Rafelski2012_new
228658430.0,15.7969605,13.2716088,2.30966661,21.137314,25.253,18.659,ok,31.894197,-50.0,17.75992202758789,0.0,131.48793029785156,500.0,27.385689,0.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.41,Rafelski2012_lit
224265639.0,131.1010153,12.7629231,2.37430391,20.677882,13.647,18.213,ok,15.4131,-50.0,22.0599365234375,0.0,12.938092231750488,0.0,12.528262,0.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.33,Rafelski2012_lit
300727071.0,128.6226875,21.6735134,4.38994459,20.787008,1.199,3.158,ok,12.870471,100.0,22.902076721191406,0.0,16.799345016479492,50.0,8.740818,50.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.3,Rafelski2012_new
367391810.0,233.97418,29.7204545,3.20033937,20.655595,1.851,4.747,ok,11.335468,100.0,11.662755966186523,-450.0,6.962092876434326,150.0,12.97218,150.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.06,Rafelski2012_lit
382553024.0,126.5820954,31.8133341,2.91186957,20.483263,33.478,27.993,ok,48.92847,-250.0,13.327478408813477,0.0,34.804752349853516,-500.0,5.7909145,0.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.5,Rafelski2012_lit
384510873.0,123.1695347,32.1357193,2.6256374,21.228025,22.612,24.145,ok,33.243427,50.0,,,,,37.755604,50.0,2,"SiII1526,AlII1670",True,True,False,-0.87,Rafelski2012_lit
390766117.0,149.4352908,33.1391009,3.27941501,20.36901,5.87,11.012,ok,22.126644,-150.0,23.27535629272461,250.0,36.567867279052734,-50.0,11.267389,0.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.08,Rafelski2012_lit
390766117.0,149.4352908,33.1391009,4.17111561,20.640665,5.87,11.012,ok,8.075511,450.0,23.967777252197266,450.0,14.049642562866211,450.0,3.0731714,150.0,4,"SiII1526,CII1334,OI1302",True,True,False,-1.46,Rafelski2012_lit
407352752.0,162.8459894,35.7595305,4.82082325,20.424814,1.343,3.512,ok,1.3179095,-300.0,5.245193958282471,0.0,8.163586616516113,300.0,1.5370591,200.0,4,"CII1334,OI1302",False,True,False,-2.28,Rafelski2012_new
430857360.0,218.1032021,39.6734727,3.27350585,20.871696,1.76,4.26,ok,41.88541,50.0,11.272626876831055,50.0,14.048714637756348,-400.0,16.609226,0.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.03,Rafelski2012_lit
451566408.0,153.6965923,43.0083819,2.95898905,20.502702,51.39,30.975,ok,48.19503,-50.0,87.3143081665039,-100.0,72.16016387939453,-50.0,47.76226,-100.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-0.5,Rafelski2012_lit
446767538.0,135.1396209,42.2630579,3.24408695,20.444416,36.836,36.933,ok,51.45778,100.0,78.06523895263672,100.0,71.0103530883789,100.0,52.332375,100.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-0.82,Rafelski2012_lit
