ID,z_abs,NHI_cat,S1_4_mJy,nu_obs_MHz,band,S_mJy_alpha+0.0,S_mJy_alpha-0.5,S_mJy_alpha-0.8,method,SEFD_Jy,Tsys_K,flux_case,S_used_mJy,NHI,Ts,tau,t_3sigma_hr,feasible_le10hr,alpha_used,S_mJy
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha+0.0,78.1,2e+20,100,0.05485463521667581,588.8448228200645,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha+0.0,78.1,2e+20,500,0.010970927043335162,14721.12057050161,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha+0.0,78.1,2e+20,1000,0.005485463521667581,58884.48228200644,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha+0.0,78.1,1e+21,100,0.27427317608337903,23.55379291280258,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha+0.0,78.1,1e+21,500,0.05485463521667581,588.8448228200645,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha+0.0,78.1,1e+21,1000,0.027427317608337904,2355.379291280258,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.5,172.0585760178689,2e+20,100,0.05485463521667581,121.32499447613534,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.5,172.0585760178689,2e+20,500,0.010970927043335162,3033.1248619033836,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.5,172.0585760178689,2e+20,1000,0.005485463521667581,12132.499447613534,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.5,172.0585760178689,1e+21,100,0.27427317608337903,4.8529997790454145,True,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.5,172.0585760178689,1e+21,500,0.05485463521667581,121.32499447613534,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.5,172.0585760178689,1e+21,1000,0.027427317608337904,485.2999779045414,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.8,276.3703818242563,2e+20,100,0.05485463521667581,47.024039302859215,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.8,276.3703818242563,2e+20,500,0.010970927043335162,1175.6009825714802,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.8,276.3703818242563,2e+20,1000,0.005485463521667581,4702.403930285921,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.8,276.3703818242563,1e+21,100,0.27427317608337903,1.8809615721143689,True,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.8,276.3703818242563,1e+21,500,0.05485463521667581,47.024039302859215,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.8,276.3703818242563,1e+21,1000,0.027427317608337904,188.09615721143686,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha+0.0,42.6,2e+20,100,0.05485463521667581,760.5136598635946,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha+0.0,42.6,2e+20,500,0.010970927043335162,19012.841496589866,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha+0.0,42.6,2e+20,1000,0.005485463521667581,76051.36598635947,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha+0.0,42.6,1e+21,100,0.27427317608337903,30.42054639454378,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha+0.0,42.6,1e+21,500,0.05485463521667581,760.5136598635946,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha+0.0,42.6,1e+21,1000,0.027427317608337904,3042.0546394543785,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha-0.5,76.66746168683068,2e+20,100,0.05485463521667581,234.80321954413907,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha-0.5,76.66746168683068,2e+20,500,0.010970927043335162,5870.080488603478,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha-0.5,76.66746168683068,2e+20,1000,0.005485463521667581,23480.321954413914,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha-0.5,76.66746168683068,1e+21,100,0.27427317608337903,9.392128781765562,True,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha-0.5,76.66746168683068,1e+21,500,0.05485463521667581,234.80321954413907,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha-0.5,76.66746168683068,1e+21,1000,0.027427317608337904,939.2128781765563,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha-0.8,109.07669646456512,2e+20,100,0.05485463521667581,116.00114196831676,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha-0.8,109.07669646456512,2e+20,500,0.010970927043335162,2900.0285492079183,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha-0.8,109.07669646456512,2e+20,1000,0.005485463521667581,11600.114196831673,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha-0.8,109.07669646456512,1e+21,100,0.27427317608337903,4.64004567873267,True,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha-0.8,109.07669646456512,1e+21,500,0.05485463521667581,116.00114196831676,False,,
39628061435498050,2.286149808050272,20.49703175711036,42.6,432.2401091661584,Band-3,42.6,76.66746168683068,109.07669646456512,"NVSS extrapolation (assumed alpha, no direct low-freq point)",309.51992530736527,117.61757161679881,alpha-0.8,109.07669646456512,1e+21,1000,0.027427317608337904,464.00456787326704,False,,
531686697,2.76777023,20.651126,404.4,376.98842154926206,Band-3,,,,TGSS+NVSS interpolation,347.3237115715575,131.98301039719186,measured,354.7719194579784,2e+20,100,0.05485463521667581,15.83129483037194,False,0.09979274632841559,354.7719194579784
531686697,2.76777023,20.651126,404.4,376.98842154926206,Band-3,,,,TGSS+NVSS interpolation,347.3237115715575,131.98301039719186,measured,354.7719194579784,2e+20,500,0.010970927043335162,395.7823707592985,False,0.09979274632841559,354.7719194579784
531686697,2.76777023,20.651126,404.4,376.98842154926206,Band-3,,,,TGSS+NVSS interpolation,347.3237115715575,131.98301039719186,measured,354.7719194579784,2e+20,1000,0.005485463521667581,1583.129483037194,False,0.09979274632841559,354.7719194579784
531686697,2.76777023,20.651126,404.4,376.98842154926206,Band-3,,,,TGSS+NVSS interpolation,347.3237115715575,131.98301039719186,measured,354.7719194579784,1e+21,100,0.27427317608337903,0.6332517932148776,True,0.09979274632841559,354.7719194579784
531686697,2.76777023,20.651126,404.4,376.98842154926206,Band-3,,,,TGSS+NVSS interpolation,347.3237115715575,131.98301039719186,measured,354.7719194579784,1e+21,500,0.05485463521667581,15.83129483037194,False,0.09979274632841559,354.7719194579784
531686697,2.76777023,20.651126,404.4,376.98842154926206,Band-3,,,,TGSS+NVSS interpolation,347.3237115715575,131.98301039719186,measured,354.7719194579784,1e+21,1000,0.027427317608337904,63.32517932148776,False,0.09979274632841559,354.7719194579784
